File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma
dcsH1He0el_1000log10e_-1180.dat;7.4962491838E+8;6.6069344801E-2;3.9802806333E+5;6.5623913289E+2
dcsH1He0el_1000log10e_-1190.dat;7.4962491838E+8;6.4565422903E-2;3.9347187377E+5;6.6907552671E+2
dcsH1He0el_1000log10e_-1200.dat;7.4962491838E+8;6.3095734448E-2;3.8896783847E+5;6.8100055822E+2
dcsH1He0el_1000log10e_-1210.dat;7.4962491838E+8;6.1659500186E-2;3.8451536044E+5;6.9176198443E+2
dcsH1He0el_1000log10e_-1220.dat;7.4962491838E+8;6.0255958607E-2;3.8011384951E+5;7.0079189729E+2
dcsH1He0el_1000log10e_-1230.dat;7.4962491838E+8;5.8884365536E-2;3.7576272225E+5;7.0708346692E+2
dcsH1He0el_1000log10e_-1240.dat;7.4962491838E+8;5.7543993734E-2;3.7146140194E+5;7.0889365166E+2
dcsH1He0el_1000log10e_-1250.dat;7.4962491838E+8;5.6234132519E-2;3.6720931844E+5;7.0211540790E+2
dcsH1He0el_1000log10e_-1260.dat;7.4962491838E+8;5.4954087386E-2;3.6300590813E+5;6.9766382114E+2
dcsH1He0el_1000log10e_-1270.dat;7.4962491838E+8;5.3703179637E-2;3.5885061386E+5;6.9392458000E+2
dcsH1He0el_1000log10e_-1280.dat;7.4962491838E+8;5.2480746025E-2;3.5474288485E+5;6.8803606067E+2
dcsH1He0el_1000log10e_-1290.dat;7.4962491838E+8;5.1286138399E-2;3.5068217662E+5;6.8074004453E+2
dcsH1He0el_1000log10e_-1300.dat;7.4962491838E+8;5.0118723363E-2;3.4666795094E+5;6.7275276317E+2
dcsH1He0el_1000log10e_-1310.dat;7.4962491838E+8;4.8977881937E-2;3.4269967572E+5;6.6490254315E+2
dcsH1He0el_1000log10e_-1320.dat;7.4962491838E+8;4.7863009232E-2;3.3877682497E+5;6.5821063818E+2
dcsH1He0el_1000log10e_-1330.dat;7.4962491838E+8;4.6773514129E-2;3.3489887873E+5;6.5398415755E+2
dcsH1He0el_1000log10e_-1340.dat;7.4962491838E+8;4.5708818961E-2;3.3106532296E+5;6.5403315135E+2
dcsH1He0el_1000log10e_-1350.dat;7.4962491838E+8;4.4668359215E-2;3.2727564955E+5;6.6240397119E+2
dcsH1He0el_1000log10e_-1360.dat;7.4962491838E+8;4.3651583224E-2;3.2352935617E+5;7.0486824713E+2
dcsH1He0el_1000log10e_-1370.dat;7.4962491838E+8;4.2657951880E-2;3.1982594625E+5;7.0040194522E+2
dcsH1He0el_1000log10e_-1380.dat;7.4962491838E+8;4.1686938347E-2;3.1616492892E+5;6.9433452305E+2
dcsH1He0el_1000log10e_-1390.dat;7.4962491838E+8;4.0738027780E-2;3.1254581890E+5;6.8690890404E+2
dcsH1He0el_1000log10e_-1400.dat;7.4962491838E+8;3.9810717055E-2;3.0896813650E+5;6.7812536861E+2
dcsH1He0el_1000log10e_-1410.dat;7.4962491838E+8;3.8904514499E-2;3.0543140749E+5;6.6784422738E+2
dcsH1He0el_1000log10e_-1420.dat;7.4962491838E+8;3.8018939632E-2;3.0193516308E+5;6.5582320938E+2
dcsH1He0el_1000log10e_-1430.dat;7.4962491838E+8;3.7153522910E-2;2.9847893984E+5;6.4174444359E+2
dcsH1He0el_1000log10e_-1440.dat;7.4962491838E+8;3.6307805477E-2;2.9506227967E+5;6.2523928103E+2
dcsH1He0el_1000log10e_-1450.dat;7.4962491838E+8;3.5481338923E-2;2.9168472969E+5;6.0585554028E+2
dcsH1He0el_1000log10e_-1460.dat;7.4962491838E+8;3.4673685045E-2;2.8834584220E+5;6.4326050697E+2
dcsH1He0el_1000log10e_-1470.dat;7.4962491838E+8;3.3884415614E-2;2.8504517463E+5;6.4673599783E+2
dcsH1He0el_1000log10e_-1480.dat;7.4962491838E+8;3.3113112148E-2;2.8178228950E+5;6.4998433287E+2
dcsH1He0el_1000log10e_-1490.dat;7.4962491838E+8;3.2359365693E-2;2.7855675431E+5;6.5438472787E+2
